date,home,away
11.04. 14:15,Burgos CF,Gijon
11.04. 14:15,Leganes,Albacete
11.04. 16:30,Malaga,Las Palmas
11.04. 19:00,Cordoba,Zaragoza
12.04. 12:00,Granada CF,Cultural Leonesa
12.04. 14:15,Huesca,Dep. La Coruna
12.04. 16:30,Cadiz CF,Andorra
12.04. 16:30,Mirandes,Castellon
12.04. 19:00,Racing Santander,Almeria
13.04. 18:30,Valladolid,Eibar
17.04. 18:30,Real Sociedad B,Racing Santander
17.04. 19:00,Las Palmas,Leganes
18.04. 14:15,Zaragoza,Ceuta
18.04. 16:30,Castellon,Burgos CF
18.04. 16:30,Cultural Leonesa,Cordoba
19.04. 12:00,Andorra,Valladolid
19.04. 14:15,Gijon,Cadiz CF
19.04. 16:30,Albacete,Granada CF
19.04. 16:30,Eibar,Huesca
19.04. 19:00,Almeria,Malaga
20.04. 18:30,Dep. La Coruna,Mirandes
24.04. 18:30,Albacete,Eibar
25.04. 14:15,Valladolid,Real Sociedad B
25.04. 16:30,Burgos CF,Dep. La Coruna
25.04. 19:00,Malaga,Castellon
26.04. 12:00,Cordoba,Gijon
26.04. 14:15,Granada CF,Almeria
26.04. 14:15,Mirandes,Cultural Leonesa
26.04. 16:30,Huesca,Zaragoza
26.04. 16:30,Leganes,Andorra
26.04. 19:00,Ceuta,Racing Santander
27.04. 18:30,Cadiz CF,Las Palmas
03.05. 16:00,Almeria,Mirandes
03.05. 16:00,Andorra,Albacete
03.05. 16:00,Castellon,Cordoba
03.05. 16:00,Cultural Leonesa,Cadiz CF
03.05. 16:00,Dep. La Coruna,Leganes
03.05. 16:00,Eibar,Malaga
03.05. 16:00,Gijon,Ceuta
03.05. 16:00,Las Palmas,Valladolid
03.05. 16:00,Racing Santander,Huesca
03.05. 16:00,Real Sociedad B,Burgos CF
03.05. 16:00,Zaragoza,Granada CF
10.05. 16:00,Albacete,Cultural Leonesa
10.05. 16:00,Andorra,Las Palmas
10.05. 16:00,Burgos CF,Almeria
10.05. 16:00,Cadiz CF,Dep. La Coruna
10.05. 16:00,Ceuta,Castellon
10.05. 16:00,Cordoba,Granada CF
10.05. 16:00,Huesca,Real Sociedad B
10.05. 16:00,Leganes,Racing Santander
10.05. 16:00,Malaga,Gijon
10.05. 16:00,Mirandes,Eibar
10.05. 16:00,Valladolid,Zaragoza
17.05. 16:00,Almeria,Las Palmas
17.05. 16:00,Castellon,Cadiz CF
17.05. 16:00,Ceuta,Malaga
17.05. 16:00,Cordoba,Albacete
17.05. 16:00,Cultural Leonesa,Eibar
17.05. 16:00,Dep. La Coruna,Andorra
17.05. 16:00,Granada CF,Burgos CF
17.05. 16:00,Leganes,Huesca
17.05. 16:00,Racing Santander,Valladolid
17.05. 16:00,Real Sociedad B,Mirandes
17.05. 16:00,Zaragoza,Gijon
24.05. 16:00,Albacete,Real Sociedad B
24.05. 16:00,Andorra,Ceuta
24.05. 16:00,Cadiz CF,Leganes
24.05. 16:00,Cultural Leonesa,Burgos CF
24.05. 16:00,Eibar,Cordoba
24.05. 16:00,Gijon,Almeria
24.05. 16:00,Huesca,Castellon
24.05. 16:00,Las Palmas,Zaragoza
24.05. 16:00,Malaga,Racing Santander
24.05. 16:00,Mirandes,Granada CF
24.05. 16:00,Valladolid,Dep. La Coruna
31.05. 16:00,Almeria,Valladolid
31.05. 16:00,Burgos CF,Andorra
31.05. 16:00,Castellon,Eibar
31.05. 16:00,Ceuta,Albacete
31.05. 16:00,Cordoba,Huesca
31.05. 16:00,Dep. La Coruna,Las Palmas
31.05. 16:00,Granada CF,Gijon
31.05. 16:00,Leganes,Mirandes
31.05. 16:00,Racing Santander,Cadiz CF
31.05. 16:00,Real Sociedad B,Cultural Leonesa
31.05. 16:00,Zaragoza,Malaga
