date,league,home,away,o_home,o_draw,o_away,scraped_at
2026-03-04,Allsvenskan,Drott,Lund,2.65,7.52,1.59,2026-03-04T17:50:44Z
2026-03-04,Allsvenskan,HK Drott,H 43 Lund,2.65,7.52,1.59,2026-03-04T14:03:18Z
2026-03-04,Allsvenskan,Torslanda,Aranas,1.82,6.81,2.25,2026-03-04T17:50:44Z
2026-03-04,Allsvenskan,Torslanda HK,HK Aranäs,1.82,6.81,2.25,2026-03-04T14:03:18Z
2026-03-04,Handbollsligan,Alingsas,Helsingborg,1.3,9.64,3.76,2026-03-04T17:50:44Z
2026-03-04,Handbollsligan,Alingsås,Helsingborg,1.3,9.64,3.76,2026-03-04T14:03:18Z
2026-03-04,Handbollsligan,HIF Karlskrona,Hammarby,2.35,7.3,1.73,2026-03-04T14:03:18Z
2026-03-04,Handbollsligan,IFK Karlskrona,Hammarby,2.35,7.3,1.73,2026-03-04T17:50:44Z
2026-03-04,Handbollsligan,IFK Skövde HK,AMO HK,1.29,9.54,3.85,2026-03-04T14:03:18Z
2026-03-04,Handbollsligan,Skovde,Amo HK,1.29,9.54,3.85,2026-03-04T17:50:44Z
2026-03-06,Allsvenskan,Tyresö,Enkopings HF,1.14,10.92,5.97,2026-03-05T15:06:24Z
2026-03-06,Allsvenskan,Tyresö,Enkopings HF,1.1,11.73,7.02,2026-03-05T20:57:36Z
2026-03-06,Allsvenskan,Tyresö,Enkopings HF,1.06,12.86,8.31,2026-03-06T08:59:19Z
2026-03-06,Allsvenskan,Tyresö,Enkopings HF,1.06,12.71,8.26,2026-03-06T14:59:16Z
2026-03-06,Allsvenskan,Ystads IF HS,Kroppskultur,2.14,7.68,1.84,2026-03-05T20:57:36Z
2026-03-06,Allsvenskan,Ystads IF HS,Kroppskultur,2.2,7.72,1.8,2026-03-06T08:59:19Z
2026-03-07,Allsvenskan,Skanela,HK Varberg,1.49,8.68,2.84,2026-03-06T14:59:16Z
2026-03-07,Handbollsligan,Eskilstuna Guif,Ystads IF HF,4.24,9.51,1.25,2026-03-05T15:06:24Z
2026-03-07,Handbollsligan,Eskilstuna Guif,Ystads IF HF,4.32,9.6,1.24,2026-03-06T08:59:19Z
2026-03-07,Handbollsligan,Eskilstuna Guif,Ystads IF HF,4.19,9.94,1.25,2026-03-06T14:59:16Z
2026-03-07,Handbollsligan,Eskilstuna Guif,Ystads IF HF,4.3,10.04,1.24,2026-03-06T20:49:20Z
2026-03-07,Handbollsligan,Eskilstuna Guif,Ystads IF HF,4.58,10.33,1.21,2026-03-07T08:48:39Z
2026-03-07,Handbollsligan,Eskilstuna Guif,Ystads IF HF,5.35,10.19,1.17,2026-03-07T14:46:16Z
2026-03-07,Handbollsligan,Hammarby,IFK Kristianstad,2.26,8.45,1.73,2026-03-05T15:06:24Z
2026-03-07,Handbollsligan,Hammarby,IFK Kristianstad,2.27,7.21,1.78,2026-03-06T14:59:16Z
2026-03-07,Handbollsligan,Hammarby,IFK Kristianstad,2.24,7.23,1.8,2026-03-06T20:49:20Z
