date,league,home,away,limit,o_over,o_under,scraped_at
2026-03-04,Allsvenskan,Drott,Lund,61.5,1.61,1.93,2026-03-04T17:50:44Z
2026-03-04,Allsvenskan,Drott,Lund,62.5,1.77,1.74,2026-03-04T17:50:44Z
2026-03-04,Allsvenskan,Drott,Lund,63.5,1.95,1.6,2026-03-04T17:50:44Z
2026-03-04,Allsvenskan,HK Drott,H 43 Lund,61.5,1.65,1.88,2026-03-04T14:03:18Z
2026-03-04,Allsvenskan,HK Drott,H 43 Lund,62.5,1.82,1.7,2026-03-04T14:03:18Z
2026-03-04,Allsvenskan,HK Drott,H 43 Lund,63.5,2.01,1.56,2026-03-04T14:03:18Z
2026-03-04,Allsvenskan,Torslanda,Aranas,62.5,1.65,1.87,2026-03-04T17:50:44Z
2026-03-04,Allsvenskan,Torslanda,Aranas,63.5,1.8,1.71,2026-03-04T17:50:44Z
2026-03-04,Allsvenskan,Torslanda,Aranas,64.5,2.01,1.56,2026-03-04T17:50:44Z
2026-03-04,Allsvenskan,Torslanda HK,HK Aranäs,62.5,1.65,1.87,2026-03-04T14:03:18Z
2026-03-04,Allsvenskan,Torslanda HK,HK Aranäs,63.5,1.8,1.71,2026-03-04T14:03:18Z
2026-03-04,Allsvenskan,Torslanda HK,HK Aranäs,64.5,2.01,1.56,2026-03-04T14:03:18Z
2026-03-04,Handbollsligan,Alingsas,Helsingborg,58.5,1.54,2.05,2026-03-04T17:50:44Z
2026-03-04,Handbollsligan,Alingsas,Helsingborg,59.5,1.68,1.84,2026-03-04T17:50:44Z
2026-03-04,Handbollsligan,Alingsas,Helsingborg,60.5,1.86,1.66,2026-03-04T17:50:44Z
2026-03-04,Handbollsligan,Alingsås,Helsingborg,58.5,1.54,2.05,2026-03-04T14:03:18Z
2026-03-04,Handbollsligan,Alingsås,Helsingborg,59.5,1.68,1.84,2026-03-04T14:03:18Z
2026-03-04,Handbollsligan,Alingsås,Helsingborg,60.5,1.86,1.66,2026-03-04T14:03:18Z
2026-03-04,Handbollsligan,HIF Karlskrona,Hammarby,60.5,1.57,1.99,2026-03-04T14:03:18Z
2026-03-04,Handbollsligan,HIF Karlskrona,Hammarby,61.5,1.71,1.8,2026-03-04T14:03:18Z
2026-03-04,Handbollsligan,HIF Karlskrona,Hammarby,62.5,1.89,1.63,2026-03-04T14:03:18Z
2026-03-04,Handbollsligan,IFK Karlskrona,Hammarby,60.5,1.57,1.99,2026-03-04T17:50:44Z
2026-03-04,Handbollsligan,IFK Karlskrona,Hammarby,61.5,1.71,1.8,2026-03-04T17:50:44Z
2026-03-04,Handbollsligan,IFK Karlskrona,Hammarby,62.5,1.89,1.63,2026-03-04T17:50:44Z
2026-03-04,Handbollsligan,IFK Skövde HK,AMO HK,58.5,1.57,1.98,2026-03-04T14:03:18Z
2026-03-04,Handbollsligan,IFK Skövde HK,AMO HK,59.5,1.72,1.79,2026-03-04T14:03:18Z
2026-03-04,Handbollsligan,IFK Skövde HK,AMO HK,60.5,1.91,1.62,2026-03-04T14:03:18Z
2026-03-04,Handbollsligan,Skovde,Amo HK,58.5,1.57,1.98,2026-03-04T17:50:44Z
2026-03-04,Handbollsligan,Skovde,Amo HK,59.5,1.72,1.79,2026-03-04T17:50:44Z
2026-03-04,Handbollsligan,Skovde,Amo HK,60.5,1.91,1.62,2026-03-04T17:50:44Z
2026-03-06,Allsvenskan,Tyresö,Enkopings HF,64.5,1.58,1.97,2026-03-06T08:59:19Z
2026-03-06,Allsvenskan,Tyresö,Enkopings HF,65.5,1.73,1.78,2026-03-06T08:59:19Z
2026-03-06,Allsvenskan,Tyresö,Enkopings HF,66.5,1.9,1.63,2026-03-06T08:59:19Z
2026-03-06,Allsvenskan,Tyresö,Enkopings HF,64.5,1.64,1.89,2026-03-06T14:59:16Z
2026-03-06,Allsvenskan,Tyresö,Enkopings HF,65.5,1.8,1.71,2026-03-06T14:59:16Z
2026-03-06,Allsvenskan,Tyresö,Enkopings HF,66.5,1.99,1.57,2026-03-06T14:59:16Z
2026-03-06,Allsvenskan,Ystads IF HS,Kroppskultur,59.5,1.58,1.97,2026-03-06T08:59:19Z
2026-03-06,Allsvenskan,Ystads IF HS,Kroppskultur,60.5,1.74,1.77,2026-03-06T08:59:19Z
2026-03-06,Allsvenskan,Ystads IF HS,Kroppskultur,61.5,1.92,1.61,2026-03-06T08:59:19Z
2026-03-06,Allsvenskan,Ystads IF HS,Kroppskultur,61.5,1.92,1.62,2026-03-06T14:59:16Z
2026-03-07,Allsvenskan,Skanela,HK Varberg,57.5,1.65,1.88,2026-03-06T20:49:20Z
2026-03-07,Allsvenskan,Skanela,HK Varberg,58.5,1.82,1.69,2026-03-06T20:49:20Z
2026-03-07,Allsvenskan,Skanela,HK Varberg,59.5,2.03,1.55,2026-03-06T20:49:20Z
2026-03-07,Handbollsligan,Eskilstuna Guif,Ystads IF HF,54.5,1.64,1.88,2026-03-06T14:59:16Z
2026-03-07,Handbollsligan,Eskilstuna Guif,Ystads IF HF,55.5,1.81,1.7,2026-03-06T14:59:16Z
