date,home,away
15.03. 11:30,Verona,Genoa
15.03. 14:00,Pisa,Cagliari
15.03. 14:00,Sassuolo,Bologna
15.03. 17:00,Como,AS Roma
15.03. 19:45,Lazio,AC Milan
16.03. 19:45,Cremonese,Fiorentina
20.03. 17:30,Cagliari,Napoli
20.03. 19:45,Genoa,Udinese
21.03. 14:00,Parma,Cremonese
21.03. 17:00,AC Milan,Torino
21.03. 19:45,Juventus,Sassuolo
22.03. 11:30,Como,Pisa
22.03. 14:00,Atalanta,Verona
22.03. 14:00,Bologna,Lazio
22.03. 17:00,AS Roma,Lecce
22.03. 19:45,Fiorentina,Inter
04.04. 13:00,Lecce,Atalanta
04.04. 13:00,Sassuolo,Cagliari
04.04. 16:00,Verona,Fiorentina
04.04. 18:45,Lazio,Parma
05.04. 13:00,Cremonese,Bologna
05.04. 16:00,Pisa,Torino
05.04. 18:45,Inter,AS Roma
06.04. 13:00,Udinese,Como
06.04. 16:00,Juventus,Genoa
06.04. 18:45,Napoli,AC Milan
12.04. 13:00,AC Milan,Udinese
12.04. 13:00,AS Roma,Pisa
12.04. 13:00,Atalanta,Juventus
12.04. 13:00,Bologna,Lecce
12.04. 13:00,Cagliari,Cremonese
12.04. 13:00,Como,Inter
12.04. 13:00,Fiorentina,Lazio
12.04. 13:00,Genoa,Sassuolo
12.04. 13:00,Parma,Napoli
12.04. 13:00,Torino,Verona
19.04. 13:00,AS Roma,Atalanta
19.04. 13:00,Cremonese,Torino
19.04. 13:00,Inter,Cagliari
19.04. 13:00,Juventus,Bologna
19.04. 13:00,Lecce,Fiorentina
19.04. 13:00,Napoli,Lazio
19.04. 13:00,Pisa,Genoa
19.04. 13:00,Sassuolo,Como
19.04. 13:00,Udinese,Parma
19.04. 13:00,Verona,AC Milan
26.04. 13:00,AC Milan,Juventus
26.04. 13:00,Bologna,AS Roma
26.04. 13:00,Cagliari,Atalanta
26.04. 13:00,Fiorentina,Sassuolo
26.04. 13:00,Genoa,Como
26.04. 13:00,Lazio,Udinese
26.04. 13:00,Napoli,Cremonese
26.04. 13:00,Parma,Pisa
26.04. 13:00,Torino,Inter
26.04. 13:00,Verona,Lecce
03.05. 13:00,AS Roma,Fiorentina
03.05. 13:00,Atalanta,Genoa
03.05. 13:00,Bologna,Cagliari
03.05. 13:00,Como,Napoli
03.05. 13:00,Cremonese,Lazio
03.05. 13:00,Inter,Parma
03.05. 13:00,Juventus,Verona
03.05. 13:00,Pisa,Lecce
03.05. 13:00,Sassuolo,AC Milan
03.05. 13:00,Udinese,Torino
10.05. 13:00,AC Milan,Atalanta
10.05. 13:00,Cagliari,Udinese
10.05. 13:00,Cremonese,Pisa
10.05. 13:00,Fiorentina,Genoa
10.05. 13:00,Lazio,Inter
10.05. 13:00,Lecce,Juventus
10.05. 13:00,Napoli,Bologna
10.05. 13:00,Parma,AS Roma
10.05. 13:00,Torino,Sassuolo
10.05. 13:00,Verona,Como
17.05. 13:00,AS Roma,Lazio
17.05. 13:00,Atalanta,Bologna
17.05. 13:00,Cagliari,Torino
17.05. 13:00,Como,Parma
17.05. 13:00,Genoa,AC Milan
17.05. 13:00,Inter,Verona
17.05. 13:00,Juventus,Fiorentina
17.05. 13:00,Pisa,Napoli
17.05. 13:00,Sassuolo,Lecce
17.05. 13:00,Udinese,Cremonese
24.05. 13:00,AC Milan,Cagliari
24.05. 13:00,Bologna,Inter
24.05. 13:00,Cremonese,Como
24.05. 13:00,Fiorentina,Atalanta
24.05. 13:00,Lazio,Pisa
24.05. 13:00,Lecce,Genoa
24.05. 13:00,Napoli,Udinese
24.05. 13:00,Parma,Sassuolo
24.05. 13:00,Torino,Juventus
24.05. 13:00,Verona,AS Roma
