date,home,away
17.04. 16:30,Sassuolo,Como
17.04. 18:45,Inter,Cagliari
18.04. 13:00,Udinese,Parma
18.04. 16:00,Napoli,Lazio
18.04. 18:45,AS Roma,Atalanta
19.04. 10:30,Cremonese,Torino
19.04. 13:00,Verona,AC Milan
19.04. 16:00,Pisa,Genoa
19.04. 18:45,Juventus,Bologna
20.04. 18:45,Lecce,Fiorentina
24.04. 18:45,Napoli,Cremonese
25.04. 13:00,Parma,Pisa
25.04. 16:00,Bologna,AS Roma
25.04. 18:45,Verona,Lecce
26.04. 10:30,Fiorentina,Sassuolo
26.04. 13:00,Genoa,Como
26.04. 16:00,Torino,Inter
26.04. 18:45,AC Milan,Juventus
27.04. 16:30,Cagliari,Atalanta
27.04. 18:45,Lazio,Udinese
03.05. 13:00,AS Roma,Fiorentina
03.05. 13:00,Atalanta,Genoa
03.05. 13:00,Bologna,Cagliari
03.05. 13:00,Como,Napoli
03.05. 13:00,Cremonese,Lazio
03.05. 13:00,Inter,Parma
03.05. 13:00,Juventus,Verona
03.05. 13:00,Pisa,Lecce
03.05. 13:00,Sassuolo,AC Milan
03.05. 13:00,Udinese,Torino
10.05. 13:00,AC Milan,Atalanta
10.05. 13:00,Cagliari,Udinese
10.05. 13:00,Cremonese,Pisa
10.05. 13:00,Fiorentina,Genoa
10.05. 13:00,Lazio,Inter
10.05. 13:00,Lecce,Juventus
10.05. 13:00,Napoli,Bologna
10.05. 13:00,Parma,AS Roma
10.05. 13:00,Torino,Sassuolo
10.05. 13:00,Verona,Como
17.05. 13:00,AS Roma,Lazio
17.05. 13:00,Atalanta,Bologna
17.05. 13:00,Cagliari,Torino
17.05. 13:00,Como,Parma
17.05. 13:00,Genoa,AC Milan
17.05. 13:00,Inter,Verona
17.05. 13:00,Juventus,Fiorentina
17.05. 13:00,Pisa,Napoli
17.05. 13:00,Sassuolo,Lecce
17.05. 13:00,Udinese,Cremonese
24.05. 13:00,AC Milan,Cagliari
24.05. 13:00,Bologna,Inter
24.05. 13:00,Cremonese,Como
24.05. 13:00,Fiorentina,Atalanta
24.05. 13:00,Lazio,Pisa
24.05. 13:00,Lecce,Genoa
24.05. 13:00,Napoli,Udinese
24.05. 13:00,Parma,Sassuolo
24.05. 13:00,Torino,Juventus
24.05. 13:00,Verona,AS Roma
