date,league,home,away,o_home,o_draw,o_away,scraped_at
2026-03-05,Starligue,Aix,Selestat,1.24,10.21,4.25,2026-03-04T17:50:44Z
2026-03-05,Starligue,Aix,Selestat,1.23,10.29,4.37,2026-03-05T15:06:24Z
2026-03-05,Starligue,Dunkerque,Toulouse,3.14,8.85,1.41,2026-03-04T14:04:18Z
2026-03-05,Starligue,Dunkerque,Toulouse,3.02,8.8,1.44,2026-03-04T17:50:44Z
2026-03-05,Starligue,Pays Aix,Selestat Alsace,1.24,8.41,4.59,2026-03-04T14:04:18Z
2026-03-06,Starligue,Cesson Rennes-Metropole,Chambery Savoie,2.28,6.99,1.79,2026-03-04T17:50:44Z
2026-03-06,Starligue,Cesson Rennes-Metropole,Chambery Savoie,2.22,7.61,1.79,2026-03-05T15:06:24Z
2026-03-06,Starligue,Istres,Tremblay,3.07,8.76,1.43,2026-03-04T17:50:44Z
2026-03-06,Starligue,Istres,Tremblay,3.11,9.03,1.41,2026-03-05T15:06:24Z
2026-03-06,Starligue,Istres Ouest Provence,Tremblay,3.07,8.76,1.43,2026-03-04T14:04:18Z
2026-03-06,Starligue,Rennes,Chambery,2.28,6.99,1.79,2026-03-04T14:04:18Z
2026-03-06,Starligue,Saint Raphael,Dijon Bourgogne H B,1.17,9.57,5.43,2026-03-04T14:04:18Z
2026-03-06,Starligue,St. Raphael,Dijon,1.17,9.57,5.43,2026-03-04T17:50:44Z
2026-03-06,Starligue,St. Raphael,Dijon,1.17,11.24,5.05,2026-03-05T15:06:24Z
2026-03-07,Starligue,Montpellier,PSG,2.34,8.4,1.68,2026-03-04T14:04:18Z
2026-03-07,Starligue,Montpellier,PSG,2.19,6.9,1.86,2026-03-05T15:06:24Z
2026-03-08,Starligue,Nimes,Limoges,1.8,8.75,2.13,2026-03-04T17:50:44Z
2026-03-08,Starligue,Nimes,Limoges,1.87,6.8,2.19,2026-03-05T15:06:24Z
2026-03-08,Starligue,Nimes,Limoges,NA,6.83,2.03,2026-03-05T20:57:36Z
2026-03-08,Starligue,Nimes,Limoges,1.99,6.9,2.03,2026-03-06T08:59:19Z
2026-03-08,Starligue,Usam Nimes,Limoges Hand 87,1.8,8.75,2.13,2026-03-04T14:04:18Z
