date,league,home,away,change,o_home,o_draw,o_away,scraped_at
2026-03-04,Premier League,Aston Villa,Chelsea,0-1,4.87,4.32,1.4,2026-03-03T21:14:25Z
2026-03-04,Premier League,Aston Villa,Chelsea,0-1,4.88,4.35,1.4,2026-03-04T07:07:45Z
2026-03-04,Premier League,Aston Villa,Chelsea,0-1,5,4.35,1.39,2026-03-04T13:56:01Z
2026-03-04,Premier League,Aston Villa,Chelsea,0-1,5,4.36,1.39,2026-03-04T08:56:38Z
2026-03-04,Premier League,Aston Villa,Chelsea,0-1,5.01,4.34,1.39,2026-03-04T13:26:24Z
2026-03-04,Premier League,Aston Villa,Chelsea,0-2,10.28,6.32,1.12,2026-03-03T21:14:25Z
2026-03-04,Premier League,Aston Villa,Chelsea,0-2,10.29,6.35,1.12,2026-03-04T07:07:45Z
2026-03-04,Premier League,Aston Villa,Chelsea,0-2,10.58,6.39,1.11,2026-03-04T08:56:38Z
2026-03-04,Premier League,Aston Villa,Chelsea,0-2,10.6,6.39,1.11,2026-03-04T13:56:01Z
2026-03-04,Premier League,Aston Villa,Chelsea,0-2,10.65,6.39,1.11,2026-03-04T13:26:24Z
2026-03-04,Premier League,Aston Villa,Chelsea,1-0,1.47,4.18,4.33,2026-03-04T07:07:45Z
2026-03-04,Premier League,Aston Villa,Chelsea,1-0,1.48,4.12,4.28,2026-03-04T13:26:24Z
2026-03-04,Premier League,Aston Villa,Chelsea,1-0,1.48,4.13,4.27,2026-03-04T13:56:01Z
2026-03-04,Premier League,Aston Villa,Chelsea,1-0,1.48,4.14,4.26,2026-03-04T08:56:38Z
2026-03-04,Premier League,Aston Villa,Chelsea,1-0,1.48,4.14,4.28,2026-03-03T21:14:25Z
2026-03-04,Premier League,Aston Villa,Chelsea,2-0,1.15,5.93,8.89,2026-03-04T08:56:38Z
2026-03-04,Premier League,Aston Villa,Chelsea,2-0,1.15,5.93,8.92,2026-03-04T13:56:01Z
2026-03-04,Premier League,Aston Villa,Chelsea,2-0,1.15,5.93,8.96,2026-03-04T13:26:24Z
2026-03-04,Premier League,Aston Villa,Chelsea,2-0,1.15,5.94,8.93,2026-03-03T21:14:25Z
2026-03-04,Premier League,Aston Villa,Chelsea,2-0,1.15,5.99,9.01,2026-03-04T07:07:45Z
2026-03-04,Premier League,Aston Villa,Chelsea,3-0,1.03,8.29,16.55,2026-03-04T08:56:38Z
2026-03-04,Premier League,Aston Villa,Chelsea,3-0,1.03,8.3,16.72,2026-03-04T13:26:24Z
2026-03-04,Premier League,Aston Villa,Chelsea,3-0,1.03,8.31,16.67,2026-03-04T13:56:01Z
2026-03-04,Premier League,Aston Villa,Chelsea,3-0,1.03,8.32,16.63,2026-03-03T21:14:25Z
2026-03-04,Premier League,Aston Villa,Chelsea,3-0,1.03,8.35,16.73,2026-03-04T07:07:45Z
2026-03-04,Premier League,Aston Villa,Chelsea,0-1,5.22,4.31,1.38,2026-03-04T14:59:35Z
2026-03-04,Premier League,Aston Villa,Chelsea,1-0,1.48,4.06,4.35,2026-03-04T14:59:35Z
2026-03-04,Premier League,Aston Villa,Chelsea,0-2,11.3,6.44,1.1,2026-03-04T14:59:35Z
2026-03-04,Premier League,Aston Villa,Chelsea,2-0,1.15,5.91,9.25,2026-03-04T14:59:35Z
2026-03-04,Premier League,Aston Villa,Chelsea,3-0,1.03,8.31,17.37,2026-03-04T14:59:35Z
2026-03-04,Premier League,Aston Villa,Chelsea,0-1,4.9,4.26,1.41,2026-03-04T17:50:44Z
2026-03-04,Premier League,Aston Villa,Chelsea,1-0,1.46,4.13,4.47,2026-03-04T17:50:44Z
2026-03-04,Premier League,Aston Villa,Chelsea,0-2,10.48,6.29,1.12,2026-03-04T17:50:44Z
2026-03-04,Premier League,Aston Villa,Chelsea,2-0,1.14,6.01,9.46,2026-03-04T17:50:44Z
2026-03-04,Premier League,Aston Villa,Chelsea,3-0,1.03,8.38,17.55,2026-03-04T17:50:44Z
2026-03-04,Premier League,Brighton,Arsenal,0-1,10.94,5.46,1.14,2026-03-04T13:26:24Z
2026-03-04,Premier League,Brighton,Arsenal,0-1,10.98,5.45,1.14,2026-03-03T21:14:25Z
2026-03-04,Premier League,Brighton,Arsenal,0-1,11.05,5.47,1.14,2026-03-04T08:56:38Z
2026-03-04,Premier League,Brighton,Arsenal,0-1,11.22,5.51,1.14,2026-03-04T07:07:45Z
2026-03-04,Premier League,Brighton,Arsenal,0-2,22.61,7.95,1.02,2026-03-04T13:26:24Z
2026-03-04,Premier League,Brighton,Arsenal,0-2,22.7,7.93,1.02,2026-03-04T13:56:01Z
2026-03-04,Premier League,Brighton,Arsenal,0-2,22.7,7.94,1.02,2026-03-03T21:14:25Z
2026-03-04,Premier League,Brighton,Arsenal,0-2,22.77,7.93,1.02,2026-03-04T08:56:38Z
2026-03-04,Premier League,Brighton,Arsenal,0-2,22.98,7.95,1.02,2026-03-04T07:07:45Z
2026-03-04,Premier League,Brighton,Arsenal,1-0,2.07,3.44,2.66,2026-03-04T13:56:01Z
2026-03-04,Premier League,Brighton,Arsenal,1-0,2.07,3.45,2.66,2026-03-04T13:26:24Z
2026-03-04,Premier League,Brighton,Arsenal,1-0,2.1,3.42,2.61,2026-03-04T08:56:38Z
2026-03-04,Premier League,Brighton,Arsenal,1-0,2.1,3.42,2.62,2026-03-03T21:14:25Z
2026-03-04,Premier League,Brighton,Arsenal,1-0,2.13,3.42,2.58,2026-03-04T07:07:45Z
2026-03-04,Premier League,Brighton,Arsenal,2-0,1.36,4.47,5.24,2026-03-04T13:26:24Z
2026-03-04,Premier League,Brighton,Arsenal,2-0,1.36,4.47,5.27,2026-03-04T13:56:01Z
2026-03-04,Premier League,Brighton,Arsenal,2-0,1.37,4.42,5.15,2026-03-04T08:56:38Z
2026-03-04,Premier League,Brighton,Arsenal,2-0,1.37,4.43,5.18,2026-03-03T21:14:25Z
2026-03-04,Premier League,Brighton,Arsenal,2-0,1.38,4.4,5.07,2026-03-04T07:07:45Z
