date,league,home,away,limit,o_over,o_under,scraped_at
2026-03-04,Olísdeild karla,Þór,Haukar,59.5,1.54,2.04,2026-03-04T17:50:44Z
2026-03-04,Olísdeild karla,Þór,Haukar,60.5,1.69,1.83,2026-03-04T17:50:44Z
2026-03-04,Olísdeild karla,Þór,Haukar,61.5,1.86,1.66,2026-03-04T17:50:44Z
2026-03-04,Olísdeild karla,Þór Akureyri,Haukar,59.5,1.54,2.04,2026-03-04T13:06:47Z
2026-03-04,Olísdeild karla,Þór Akureyri,Haukar,60.5,1.68,1.83,2026-03-04T13:06:47Z
2026-03-04,Olísdeild karla,Þór Akureyri,Haukar,61.5,1.85,1.67,2026-03-04T13:06:47Z
2026-03-05,Olísdeild karla,FH,Afturelding,59.5,1.63,1.9,2026-03-04T17:50:44Z
2026-03-05,Olísdeild karla,FH,Afturelding,60.5,1.8,1.71,2026-03-04T17:50:44Z
2026-03-05,Olísdeild karla,FH,Afturelding,61.5,1.99,1.57,2026-03-04T17:50:44Z
2026-03-05,Olísdeild karla,FH,Afturelding,59.5,1.65,1.87,2026-03-05T15:06:24Z
2026-03-05,Olísdeild karla,FH,Afturelding,60.5,1.83,1.69,2026-03-05T15:06:24Z
2026-03-05,Olísdeild karla,FH,Afturelding,61.5,2.03,1.55,2026-03-05T15:06:24Z
2026-03-05,Olísdeild karla,HK,Selfoss,59.5,1.64,1.89,2026-03-05T15:06:24Z
2026-03-05,Olísdeild karla,HK,Selfoss,60.5,1.81,1.71,2026-03-05T15:06:24Z
2026-03-05,Olísdeild karla,HK,Selfoss,61.5,2,1.56,2026-03-05T15:06:24Z
2026-03-05,Olísdeild karla,ÍBV,ÍR,61.5,1.53,2.05,2026-03-05T15:06:24Z
2026-03-05,Olísdeild karla,ÍBV,ÍR,62.5,1.68,1.84,2026-03-05T15:06:24Z
2026-03-05,Olísdeild karla,ÍBV,ÍR,63.5,1.84,1.67,2026-03-05T15:06:24Z
2026-03-06,Olísdeild karla,Stjarnan,KA,58.5,1.67,1.85,2026-03-05T15:06:24Z
2026-03-06,Olísdeild karla,Stjarnan,KA,59.5,1.84,1.67,2026-03-05T15:06:24Z
2026-03-06,Olísdeild karla,Stjarnan,KA,60.5,2.06,1.53,2026-03-05T15:06:24Z
2026-03-06,Olísdeild karla,Stjarnan,KA,58.5,1.65,1.87,2026-03-06T08:59:19Z
2026-03-06,Olísdeild karla,Stjarnan,KA,59.5,1.82,1.69,2026-03-06T08:59:19Z
2026-03-06,Olísdeild karla,Stjarnan,KA,60.5,2.03,1.54,2026-03-06T08:59:19Z
