date,league,home,away,o_home,o_draw,o_away,scraped_at
2026-03-04,Olísdeild karla,Þór,Haukar,3.99,10.43,1.26,2026-03-04T17:50:44Z
2026-03-04,Olísdeild karla,Þór Akureyri,Haukar,3.99,10.43,1.26,2026-03-04T13:06:47Z
2026-03-05,Olísdeild karla,FH,Afturelding,1.8,6.7,2.29,2026-03-04T17:50:44Z
2026-03-05,Olísdeild karla,FH,Afturelding,1.69,7.8,2.39,2026-03-05T15:06:24Z
2026-03-05,Olísdeild karla,HK,Selfoss,1.65,7.96,2.45,2026-03-05T15:06:24Z
2026-03-05,Olísdeild karla,Valur,Fram,1.37,10.35,3.2,2026-03-04T17:50:44Z
2026-03-05,Olísdeild karla,Valur,Fram,1.45,8.25,3.03,2026-03-05T15:06:24Z
2026-03-05,Olísdeild karla,ÍBV,ÍR,1.1,11.71,6.69,2026-03-05T15:06:24Z
2026-03-06,Olísdeild karla,Stjarnan,KA,3.17,9.07,1.4,2026-03-05T15:06:24Z
2026-03-06,Olísdeild karla,Stjarnan,KA,3.11,9.62,1.4,2026-03-06T08:59:19Z
