date,league,home,away,o_home,o_draw,o_away,scraped_at
2026-03-05,Håndboldligaen,Bjerringbro-Silkeborg,Skjern,1.95,7.01,2.06,2026-03-04T14:02:18Z
2026-03-05,Håndboldligaen,Bjerringbro/Silkeborg,Skjern,2.02,7.7,1.94,2026-03-04T17:50:44Z
2026-03-05,Håndboldligaen,Bjerringbro/Silkeborg,Skjern,2.01,7.79,1.94,2026-03-05T15:06:24Z
2026-03-07,Håndboldligaen,Fredericia,Sonderjyske,1.47,9.13,2.86,2026-03-04T17:50:44Z
2026-03-07,Håndboldligaen,Fredericia,Sonderjyske,1.45,7.59,3.16,2026-03-05T15:06:24Z
2026-03-07,Håndboldligaen,Fredericia,Sonderjyske,1.45,8.7,2.97,2026-03-06T08:59:19Z
2026-03-07,Håndboldligaen,Fredericia,Sonderjyske,1.47,8.8,2.89,2026-03-06T14:59:16Z
2026-03-07,Håndboldligaen,Fredericia HK,Sonderjyske,1.47,9.35,2.84,2026-03-04T14:02:18Z
2026-03-07,Håndboldligaen,Fredericia HK,Sonderjyske,1.47,9.13,2.86,2026-03-04T14:59:35Z
2026-03-07,Håndboldligaen,Mors,Holstebro,1.35,9.36,3.44,2026-03-04T17:50:44Z
2026-03-07,Håndboldligaen,Mors,Holstebro,1.38,7.8,3.5,2026-03-05T15:06:24Z
2026-03-07,Håndboldligaen,Mors,Holstebro,1.38,7.74,3.48,2026-03-06T08:59:19Z
2026-03-07,Håndboldligaen,Mors,Holstebro,1.4,NA,3.17,2026-03-06T14:59:16Z
2026-03-07,Håndboldligaen,Mors,Holstebro,1.48,8.76,2.86,2026-03-06T20:49:20Z
2026-03-07,Håndboldligaen,Mors-Thy,TT Holstebro,1.35,9.36,3.44,2026-03-04T14:02:18Z
2026-03-07,Håndboldligaen,Ribe Esbjerg,Aalborg,4.92,12.59,1.17,2026-03-04T14:02:18Z
2026-03-07,Håndboldligaen,Ribe-Esbjerg,Aalborg,4.92,12.59,1.17,2026-03-04T17:50:44Z
2026-03-07,Håndboldligaen,Ribe-Esbjerg,Aalborg,6.88,11.13,1.11,2026-03-05T15:06:24Z
2026-03-07,Håndboldligaen,Ribe-Esbjerg,Aalborg,7.64,11.61,1.08,2026-03-05T20:57:36Z
2026-03-07,Håndboldligaen,Ribe-Esbjerg,Aalborg,7.03,11.27,1.1,2026-03-06T08:59:19Z
2026-03-07,Håndboldligaen,Ribe-Esbjerg,Aalborg,7.43,12.16,1.08,2026-03-06T14:59:16Z
2026-03-07,Håndboldligaen,Skanderborg,Nordsjælland,1.19,11.44,4.71,2026-03-04T14:02:18Z
2026-03-07,Håndboldligaen,Skanderborg AGF,Nordsjaelland,1.19,11.1,4.75,2026-03-04T17:50:44Z
2026-03-07,Håndboldligaen,Skanderborg AGF,Nordsjaelland,1.17,9.6,5.62,2026-03-05T15:06:24Z
2026-03-07,Håndboldligaen,Skanderborg AGF,Nordsjaelland,1.19,10.73,4.92,2026-03-06T08:59:19Z
2026-03-07,Håndboldligaen,Skanderborg AGF,Nordsjaelland,1.19,10.95,4.88,2026-03-06T14:59:16Z
2026-03-08,Håndboldligaen,HOJ,Grindsted GIF,1.09,11.73,7.07,2026-03-04T14:02:18Z
2026-03-08,Håndboldligaen,HOJ,Grindsted,1.09,11.73,7.07,2026-03-04T17:50:44Z
2026-03-08,Håndboldligaen,HOJ,Grindsted,1.15,10.22,5.87,2026-03-05T15:06:24Z
2026-03-08,Håndboldligaen,HOJ,Grindsted,1.15,10.23,5.75,2026-03-06T08:59:19Z
2026-03-08,Håndboldligaen,HOJ,Grindsted,1.15,10.27,5.82,2026-03-06T14:59:16Z
2026-03-08,Håndboldligaen,HOJ,Grindsted,1.26,9.77,4.15,2026-03-07T08:48:40Z
2026-03-08,Håndboldligaen,Ringsted,GOG,3.6,10.19,1.31,2026-03-04T14:02:18Z
2026-03-08,Håndboldligaen,Ringsted,GOG,NA,8.09,1.31,2026-03-05T15:06:24Z
2026-03-08,Håndboldligaen,Ringsted,GOG,4.47,8.72,1.25,2026-03-06T20:49:20Z
2026-03-08,Håndboldligaen,Ringsted,GOG,3.57,9.35,1.33,2026-03-07T08:48:40Z
