date,home,away
25.03. 18:00,Zwickau W,Oldenburg W
28.03. 17:00,Bensheim-Auerbach W,Buxtehuder SV W
28.03. 18:00,Halle-Neustadt W,Blomberg-Lippe W
28.03. 18:30,Metzingen W,Goppingen W
29.03. 14:00,Zwickau W,Neckarsulmer W
01.04. 17:00,Thuringer W,Zwickau W
01.04. 17:30,BVB Dortmund W,Oldenburg W
04.04. 17:00,Blomberg-Lippe W,BVB Dortmund W
04.04. 17:00,Buxtehuder SV W,Halle-Neustadt W
04.04. 17:00,Goppingen W,Zwickau W
04.04. 17:00,Oldenburg W,Metzingen W
04.04. 17:00,Thuringer W,Bensheim-Auerbach W
