date,league,home,away,o_home,o_draw,o_away,scraped_at
2026-04-12,Besta Deildin,Fram,ÍA,2.08,3.77,2.74,2026-04-10T20:41:26Z
2026-04-12,Besta Deildin,Fram,ÍA,2.17,3.71,2.63,2026-04-12T14:43:31Z
2026-04-12,Besta Deildin,KA,Stjarnan,2.23,3.7,2.56,2026-04-10T20:41:26Z
2026-04-12,Besta Deildin,KR,Keflavík,1.26,5.79,7.04,2026-04-10T20:41:26Z
2026-04-12,Besta Deildin,KR,Keflavík,1.25,5.92,7.23,2026-04-11T20:36:36Z
2026-04-12,Besta Deildin,KR,Keflavík,1.28,5.69,6.62,2026-04-12T14:43:31Z
2026-04-12,Besta Deildin,Valur,Þór Ak.,1.72,4.07,3.54,2026-04-10T20:41:26Z
2026-04-12,Besta Deildin,Valur,Þór Ak.,1.69,4.09,3.65,2026-04-11T20:36:36Z
2026-04-12,Besta Deildin,Valur,Þór Ak.,1.82,3.96,3.25,2026-04-12T14:43:31Z
2026-04-12,Besta Deildin,ÍBV,FH,2.46,3.46,2.41,2026-04-10T20:41:26Z
