date,league,home,away,o_home,o_draw,o_away,scraped_at
2026-03-06,Liga Asobal,C BM Sporting Alicante,Globalcaja Ciudad Encantada,1.44,8.75,3.01,2026-03-04T14:05:29Z
2026-03-06,Liga Asobal,C BM Sporting Alicante,Globalcaja Ciudad Encantada,1.43,8.2,3.11,2026-03-04T17:50:44Z
2026-03-06,Liga Asobal,C BM Sporting Alicante,Globalcaja Ciudad Encantada,1.46,8.71,2.95,2026-03-05T15:06:24Z
2026-03-06,Liga Asobal,Huesca,Bidasoa Irun,3.96,9.57,1.28,2026-03-04T14:05:29Z
2026-03-06,Liga Asobal,Huesca,CD Bidasoa Irun,4.26,9.18,1.26,2026-03-04T17:50:44Z
2026-03-06,Liga Asobal,Huesca,CD Bidasoa Irun,4.02,9.82,1.27,2026-03-05T15:06:24Z
2026-03-06,Liga Asobal,Huesca,CD Bidasoa Irun,3.87,9.82,1.28,2026-03-06T14:59:16Z
2026-03-07,Liga Asobal,Ademar,Puente Genil,1.14,10.94,5.71,2026-03-04T17:50:44Z
2026-03-07,Liga Asobal,Ademar,Puente Genil,1.13,10.82,6.11,2026-03-05T15:06:24Z
2026-03-07,Liga Asobal,Ademar,Puente Genil,1.13,11.09,6.17,2026-03-05T20:57:36Z
2026-03-07,Liga Asobal,Ademar,Puente Genil,1.14,11.25,5.83,2026-03-06T14:59:16Z
2026-03-07,Liga Asobal,BM Nava,BM Caserio Ciudad Real,1.53,8.45,2.72,2026-03-04T14:05:29Z
2026-03-07,Liga Asobal,Guadalajara,Frigorificos Morrazo,2.28,8.23,1.72,2026-03-04T14:05:29Z
2026-03-07,Liga Asobal,Naturhouse La Rioja,BM Atletico Valladolid,1.44,8.83,3.03,2026-03-06T20:49:20Z
2026-03-07,Liga Asobal,Naturhouse La Rioja,BM Atletico Valladolid,1.39,9.01,3.2,2026-03-07T14:46:16Z
2026-03-07,Liga Asobal,Nava,Caserio Ciudad Real,1.53,8.45,2.72,2026-03-04T17:50:44Z
2026-03-07,Liga Asobal,Nava,Caserio Ciudad Real,1.57,7.56,2.7,2026-03-05T15:06:24Z
2026-03-07,Liga Asobal,Nava,Caserio Ciudad Real,1.56,7.99,2.69,2026-03-06T14:59:16Z
2026-03-07,Liga Asobal,Quabit Guadalajara,Morrazo Cangas,2.28,8.23,1.72,2026-03-04T17:50:44Z
2026-03-07,Liga Asobal,Quabit Guadalajara,Morrazo Cangas,2.33,6.83,1.77,2026-03-05T15:06:24Z
2026-03-07,Liga Asobal,Quabit Guadalajara,Morrazo Cangas,2.32,6.99,1.77,2026-03-05T20:57:36Z
2026-03-07,Liga Asobal,Quabit Guadalajara,Morrazo Cangas,2.3,7.21,1.77,2026-03-06T14:59:16Z
2026-03-07,Liga Asobal,Reale Ademar Leon,Angel Ximenez P. Genil,1.14,10.94,5.71,2026-03-04T14:05:29Z
2026-03-08,Liga Asobal,BM Torrelavega,Villa De Aranda,1.08,12.01,7.54,2026-03-07T19:58:05Z
2026-03-08,Liga Asobal,BM Torrelavega,Villa De Aranda,1.09,11.93,7.4,2026-03-08T14:42:00Z
2026-03-08,Liga Asobal,Barcelona,Granollers,1.02,14.46,11.01,2026-03-06T20:49:20Z
2026-03-13,Liga Asobal,Globalcaja Ciudad Encantada,Ademar,2.57,8.51,1.58,2026-03-09T15:11:00Z
2026-03-13,Liga Asobal,Globalcaja Ciudad Encantada,Ademar,2.56,7.94,1.61,2026-03-10T15:05:38Z
2026-03-13,Liga Asobal,Globalcaja Ciudad Encantada,Ademar,2.59,7.34,1.62,2026-03-11T08:59:49Z
2026-03-13,Liga Asobal,Globalcaja Ciudad Encantada,Ademar,2.61,7.45,1.61,2026-03-12T15:11:43Z
2026-03-13,Liga Asobal,Globalcaja Ciudad Encantada,Ademar,2.56,7.46,1.63,2026-03-13T09:04:56Z
2026-03-13,Liga Asobal,Puente Genil,Nava,1.67,8.94,2.34,2026-03-09T15:11:00Z
2026-03-13,Liga Asobal,Puente Genil,Nava,1.68,8.78,2.33,2026-03-10T09:00:05Z
2026-03-13,Liga Asobal,Puente Genil,Nava,1.68,7.96,2.38,2026-03-10T15:05:38Z
2026-03-13,Liga Asobal,Puente Genil,Nava,1.65,7.3,2.53,2026-03-11T08:59:49Z
2026-03-13,Liga Asobal,Puente Genil,Nava,1.64,7.27,2.54,2026-03-11T15:05:33Z
2026-03-13,Liga Asobal,Puente Genil,Nava,1.79,6.97,2.29,2026-03-11T20:55:32Z
2026-03-13,Liga Asobal,Puente Genil,Nava,1.86,6.95,2.18,2026-03-12T09:14:54Z
2026-03-13,Liga Asobal,Puente Genil,Nava,1.79,7.26,2.25,2026-03-12T15:11:43Z
2026-03-14,Liga Asobal,BM Atletico Valladolid,C BM Sporting Alicante,1.23,10.2,4.31,2026-03-09T15:11:00Z
2026-03-14,Liga Asobal,BM Atletico Valladolid,C BM Sporting Alicante,1.24,10.01,4.32,2026-03-09T20:51:07Z
2026-03-14,Liga Asobal,BM Atletico Valladolid,C BM Sporting Alicante,1.24,9.36,4.44,2026-03-10T15:05:38Z
2026-03-14,Liga Asobal,BM Atletico Valladolid,C BM Sporting Alicante,1.24,9.87,4.35,2026-03-10T20:51:05Z
2026-03-14,Liga Asobal,BM Atletico Valladolid,C BM Sporting Alicante,1.24,9.89,4.35,2026-03-12T09:14:54Z
