date,home,away
10.04. 19:00,Real Madrid,Girona
11.04. 12:00,Real Sociedad,Alaves
11.04. 14:15,Elche,Valencia
11.04. 16:30,Barcelona,Espanyol
11.04. 19:00,Sevilla,Atl. Madrid
12.04. 12:00,Osasuna,Betis
12.04. 14:15,Mallorca,Rayo Vallecano
12.04. 16:30,Celta Vigo,Oviedo
12.04. 19:00,Ath Bilbao,Villarreal
13.04. 19:00,Levante,Getafe
21.04. 17:00,Ath Bilbao,Osasuna
21.04. 17:00,Mallorca,Valencia
21.04. 19:30,Girona,Betis
21.04. 19:30,Real Madrid,Alaves
22.04. 17:00,Elche,Atl. Madrid
22.04. 18:00,Real Sociedad,Getafe
22.04. 19:30,Barcelona,Celta Vigo
23.04. 17:00,Levante,Sevilla
23.04. 18:00,Rayo Vallecano,Espanyol
23.04. 19:30,Oviedo,Villarreal
24.04. 19:00,Betis,Real Madrid
25.04. 12:00,Alaves,Mallorca
25.04. 14:15,Getafe,Barcelona
25.04. 16:30,Valencia,Girona
25.04. 19:00,Atl. Madrid,Ath Bilbao
26.04. 12:00,Rayo Vallecano,Real Sociedad
26.04. 14:15,Oviedo,Elche
26.04. 16:30,Osasuna,Sevilla
26.04. 19:00,Villarreal,Celta Vigo
27.04. 19:00,Espanyol,Levante
03.05. 16:00,Alaves,Ath Bilbao
03.05. 16:00,Betis,Oviedo
03.05. 16:00,Celta Vigo,Elche
03.05. 16:00,Espanyol,Real Madrid
03.05. 16:00,Getafe,Rayo Vallecano
03.05. 16:00,Girona,Mallorca
03.05. 16:00,Osasuna,Barcelona
03.05. 16:00,Sevilla,Real Sociedad
03.05. 16:00,Valencia,Atl. Madrid
03.05. 16:00,Villarreal,Levante
10.05. 16:00,Ath Bilbao,Valencia
10.05. 16:00,Atl. Madrid,Celta Vigo
10.05. 16:00,Elche,Alaves
10.05. 16:00,Levante,Osasuna
10.05. 16:00,Mallorca,Villarreal
10.05. 16:00,Oviedo,Getafe
10.05. 16:00,Rayo Vallecano,Girona
10.05. 16:00,Real Sociedad,Betis
10.05. 16:00,Sevilla,Espanyol
10.05. 19:00,Barcelona,Real Madrid
13.05. 16:00,Alaves,Barcelona
13.05. 16:00,Betis,Elche
13.05. 16:00,Celta Vigo,Levante
13.05. 16:00,Espanyol,Ath Bilbao
13.05. 16:00,Getafe,Mallorca
13.05. 16:00,Girona,Real Sociedad
13.05. 16:00,Osasuna,Atl. Madrid
13.05. 16:00,Real Madrid,Oviedo
13.05. 16:00,Valencia,Rayo Vallecano
13.05. 16:00,Villarreal,Sevilla
17.05. 16:00,Ath Bilbao,Celta Vigo
17.05. 16:00,Atl. Madrid,Girona
17.05. 16:00,Barcelona,Betis
17.05. 16:00,Elche,Getafe
17.05. 16:00,Levante,Mallorca
17.05. 16:00,Osasuna,Espanyol
17.05. 16:00,Oviedo,Alaves
17.05. 16:00,Rayo Vallecano,Villarreal
17.05. 16:00,Real Sociedad,Valencia
17.05. 16:00,Sevilla,Real Madrid
24.05. 16:00,Alaves,Rayo Vallecano
24.05. 16:00,Betis,Levante
24.05. 16:00,Celta Vigo,Sevilla
24.05. 16:00,Espanyol,Real Sociedad
24.05. 16:00,Getafe,Osasuna
24.05. 16:00,Girona,Elche
24.05. 16:00,Mallorca,Oviedo
24.05. 16:00,Real Madrid,Ath Bilbao
24.05. 16:00,Valencia,Barcelona
24.05. 16:00,Villarreal,Atl. Madrid
